Instance,Objective,Lower Bound,Gap(%),Solve Time(s),Truck Served,Drone Served,Jetsuite Served
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-59-n10-maxradius-40.txt,334.333,334.3,0.01,2.294,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-59-n10-maxradius-60.txt,332.892,332.875,0.01,4.104,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-59-n10-maxradius-100.txt,301.739,301.714,0.01,52.513,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-59-n10-maxradius-150.txt,204.033,204.025,0,43.291,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-59-n10-maxradius-200.txt,204.033,204.033,0,92.082,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-60-n10-maxradius-20.txt,280.236,280.236,0,0.159,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-60-n10-maxradius-40.txt,275.797,275.797,0,1.907,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-60-n10-maxradius-60.txt,270.498,270.498,0,24.371,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-60-n10-maxradius-100.txt,244.052,244.037,0.01,41.705,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-60-n10-maxradius-150.txt,225.935,225.935,0,34.602,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-60-n10-maxradius-200.txt,225.935,225.914,0.01,56.392,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-51-n10-maxradius-20.txt,301.184,301.184,0,0.568,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-51-n10-maxradius-40.txt,301.184,301.184,0,0.71,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-51-n10-maxradius-60.txt,301.184,301.184,0,3.751,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-51-n10-maxradius-100.txt,288.209,288.209,0,77.839,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-51-n10-maxradius-150.txt,284.812,284.789,0.01,90.933,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-51-n10-maxradius-200.txt,282.778,282.75,0.01,81.851,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-52-n10-maxradius-20.txt,303.873,303.873,0,0.284,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-52-n10-maxradius-40.txt,303.873,303.873,0,2.81,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-52-n10-maxradius-60.txt,291.725,291.725,0,43.197,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-52-n10-maxradius-100.txt,253.126,253.126,0,197.456,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-52-n10-maxradius-150.txt,244.062,244.04,0.01,172.007,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-52-n10-maxradius-200.txt,244.062,244.039,0.01,317.772,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-53-n10-maxradius-20.txt,284.656,284.656,0,0.202,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-53-n10-maxradius-40.txt,284.551,284.551,0,1.419,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-53-n10-maxradius-60.txt,284.381,284.381,0,2.637,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-53-n10-maxradius-100.txt,276.197,276.197,0,223.564,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-53-n10-maxradius-150.txt,247.009,246.992,0.01,430.018,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-53-n10-maxradius-200.txt,247.009,246.989,0.01,343.939,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-54-n10-maxradius-20.txt,311.087,311.087,0,0.166,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-54-n10-maxradius-40.txt,311.087,311.087,0,1.353,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-54-n10-maxradius-60.txt,308.169,308.169,0,26.994,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-54-n10-maxradius-100.txt,275.785,275.773,0,179.854,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-54-n10-maxradius-150.txt,270.405,270.389,0.01,138.627,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-54-n10-maxradius-200.txt,270.405,270.38,0.01,102.27,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-55-n10-maxradius-20.txt,338.061,338.061,0,0.157,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-55-n10-maxradius-40.txt,338.061,338.061,0,0.664,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-55-n10-maxradius-60.txt,332.847,332.847,0,21.885,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-55-n10-maxradius-100.txt,317.926,317.903,0.01,208.111,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-55-n10-maxradius-150.txt,297.668,297.638,0.01,113.56,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-55-n10-maxradius-200.txt,297.668,297.638,0.01,85.863,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-56-n10-maxradius-20.txt,322.641,322.641,0,0.172,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-56-n10-maxradius-40.txt,322.641,322.641,0,0.52,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-56-n10-maxradius-60.txt,322.591,322.566,0.01,19.118,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-56-n10-maxradius-100.txt,290.918,290.906,0,120.349,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-56-n10-maxradius-150.txt,261.517,261.492,0.01,119.274,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-56-n10-maxradius-200.txt,261.517,261.496,0.01,176.207,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-57-n10-maxradius-20.txt,255.624,255.615,0,2.201,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-57-n10-maxradius-40.txt,254.078,254.078,0,23.008,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-57-n10-maxradius-60.txt,253.882,253.864,0.01,39.115,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-57-n10-maxradius-100.txt,246.053,246.029,0.01,195.835,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-57-n10-maxradius-150.txt,232.567,232.543,0.01,202.952,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-57-n10-maxradius-200.txt,232.567,232.543,0.01,320.256,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-58-n10-maxradius-20.txt,302.874,302.874,0,0.695,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-58-n10-maxradius-40.txt,302.874,302.871,0,2.02,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-58-n10-maxradius-60.txt,301.894,301.894,0,29.796,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-58-n10-maxradius-100.txt,289.769,289.769,0,254.41,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-58-n10-maxradius-150.txt,273.649,273.627,0.01,192.123,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-58-n10-maxradius-200.txt,273.649,273.622,0.01,254.533,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-59-n10-maxradius-20.txt,351.94,351.94,0,0.803,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-59-n10-maxradius-40.txt,350.499,350.499,0,4.369,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-59-n10-maxradius-60.txt,342.106,342.091,0,7.47,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-59-n10-maxradius-100.txt,324.184,324.161,0.01,96.74,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-59-n10-maxradius-150.txt,274.938,274.918,0.01,242.794,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-59-n10-maxradius-200.txt,274.938,274.912,0.01,430.27,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-60-n10-maxradius-20.txt,280.236,280.236,0,0.273,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-60-n10-maxradius-40.txt,280.236,280.227,0,3.342,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-60-n10-maxradius-60.txt,271.655,271.655,0,43.283,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-60-n10-maxradius-100.txt,269.745,269.729,0.01,114.752,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-60-n10-maxradius-150.txt,267.454,267.454,0,57.733,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_1-60-n10-maxradius-200.txt,267.454,267.436,0.01,83.51,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-51-n10-maxradius-20.txt,298.988,298.988,0,0.338,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-51-n10-maxradius-40.txt,298.988,298.988,0,1.471,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-51-n10-maxradius-60.txt,298.224,298.224,0,2.865,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-51-n10-maxradius-100.txt,281.207,281.204,0,55.215,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-51-n10-maxradius-150.txt,264.077,264.052,0.01,65.303,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-51-n10-maxradius-200.txt,235.754,235.74,0.01,54.545,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-52-n10-maxradius-20.txt,303.013,303.013,0,0.238,8,1,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-52-n10-maxradius-40.txt,295.909,295.909,0,2.564,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-52-n10-maxradius-60.txt,279.947,279.947,0,29.263,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-52-n10-maxradius-100.txt,215.951,215.951,0,43.319,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-52-n10-maxradius-150.txt,179.567,179.555,0.01,45.367,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-52-n10-maxradius-200.txt,179.073,179.068,0,42.154,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-53-n10-maxradius-20.txt,284.656,284.656,0,0.191,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-53-n10-maxradius-40.txt,284.656,284.656,0,1.387,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-53-n10-maxradius-60.txt,278.419,278.419,0,1.773,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-53-n10-maxradius-100.txt,236.342,236.336,0,46.372,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-53-n10-maxradius-150.txt,150.343,150.328,0.01,65.597,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-53-n10-maxradius-200.txt,148.524,148.522,0,126.802,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-54-n10-maxradius-20.txt,311.087,311.087,0,0.181,9,0,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-54-n10-maxradius-40.txt,307.24,307.24,0,1.176,7,2,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-54-n10-maxradius-60.txt,259.182,259.171,0,7.788,6,3,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-54-n10-maxradius-100.txt,246.425,246.425,0,72.169,5,4,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-54-n10-maxradius-150.txt,194.59,194.59,0,36.327,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-54-n10-maxradius-200.txt,194.59,194.573,0.01,53.892,4,5,
RV-FSTSP_Niels_instances_restricted_maxradius_uniform-alpha_3-55-n10-maxradius-20.txt,338.061,338.061,0,0.156,9,0,
