Instance,Objective,Lower Bound,Gap(%),Solve Time(s),Truck Served,Drone Served,Jetsuite Served
uniform-alpha_1-54-n10-maxradius-200,202.159,202.159,0,3.699,3,1,4
uniform-alpha_1-55-n10-maxradius-20,284.735,284.735,0,2.464,4,0,4
uniform-alpha_1-55-n10-maxradius-40,284.735,284.735,0,1.718,4,0,4
uniform-alpha_1-55-n10-maxradius-60,279.988,279.988,0,2.972,3,1,4
uniform-alpha_1-55-n10-maxradius-100,276.088,276.088,0,3.517,3,1,4
uniform-alpha_1-55-n10-maxradius-150,250.169,250.169,0,3.102,3,1,4
uniform-alpha_1-55-n10-maxradius-200,249.425,249.425,0,3.552,3,1,4
uniform-alpha_1-56-n10-maxradius-20,249.101,249.101,0,2.285,4,0,4
uniform-alpha_1-56-n10-maxradius-40,249.101,249.1,0,3.009,4,0,4
uniform-alpha_1-56-n10-maxradius-60,244.561,244.561,0,3.602,3,1,4
uniform-alpha_1-56-n10-maxradius-100,225.739,225.739,0,5.238,3,1,4
uniform-alpha_1-56-n10-maxradius-150,218.923,218.923,0,2.948,3,1,4
uniform-alpha_1-56-n10-maxradius-200,218.923,218.923,0,3.942,3,1,4
uniform-alpha_1-57-n10-maxradius-20,215.23,215.224,0,1.519,3,1,4
uniform-alpha_1-57-n10-maxradius-40,212.575,212.575,0,3.289,4,1,3
uniform-alpha_1-57-n10-maxradius-60,212.625,212.625,0,3.842,4,1,3
uniform-alpha_1-57-n10-maxradius-100,206.178,206.178,0,5.613,4,1,3
uniform-alpha_1-57-n10-maxradius-150,174.903,174.901,0,2.053,3,1,4
uniform-alpha_1-57-n10-maxradius-200,174.903,174.903,0,1.877,3,1,4
uniform-alpha_1-58-n10-maxradius-20,242.338,242.338,0,1.868,4,0,4
uniform-alpha_1-58-n10-maxradius-40,236.653,236.653,0,4.438,3,1,4
uniform-alpha_1-58-n10-maxradius-60,235.038,235.038,0,3.252,3,1,4
uniform-alpha_1-58-n10-maxradius-100,229.788,229.788,0,5.016,3,2,3
uniform-alpha_1-58-n10-maxradius-150,212.315,212.315,0,3.632,3,1,4
uniform-alpha_1-58-n10-maxradius-200,211.204,211.204,0,3.378,3,1,4
uniform-alpha_1-59-n10-maxradius-20,230.694,230.694,0,1.146,4,1,3
uniform-alpha_1-59-n10-maxradius-40,230.152,230.152,0,1.853,4,1,3
uniform-alpha_1-59-n10-maxradius-60,227.381,227.381,0,1.991,4,1,3
uniform-alpha_1-59-n10-maxradius-100,213.833,213.833,0,2.834,3,1,4
uniform-alpha_1-59-n10-maxradius-150,195.277,195.277,0,1.913,3,1,4
uniform-alpha_1-59-n10-maxradius-200,195.277,195.277,0,1.74,3,1,4
uniform-alpha_1-60-n10-maxradius-20,260.052,260.052,0,2.429,4,0,4
uniform-alpha_1-60-n10-maxradius-40,260.052,260.052,0,3.288,4,0,4
uniform-alpha_1-60-n10-maxradius-60,254.797,254.797,0,3.664,3,1,4
uniform-alpha_1-60-n10-maxradius-100,232.607,232.607,0,4.286,3,1,4
uniform-alpha_1-60-n10-maxradius-150,230.631,230.631,0,4.474,3,1,4
uniform-alpha_1-60-n10-maxradius-200,227.975,227.975,0,3.945,3,1,4
uniform-alpha_3-51-n10-maxradius-20,279.287,279.287,0,3.575,4,1,3
uniform-alpha_3-51-n10-maxradius-40,256.117,256.117,0,7.071,3,2,3
uniform-alpha_3-51-n10-maxradius-60,246.144,246.124,0.01,7.827,3,2,3
uniform-alpha_3-51-n10-maxradius-100,246.144,246.144,0,6.449,3,2,3
uniform-alpha_3-51-n10-maxradius-150,246.144,246.144,0,6.534,3,2,3
uniform-alpha_3-51-n10-maxradius-200,245.808,245.795,0.01,8.035,4,3,1
uniform-alpha_3-52-n10-maxradius-20,190.371,190.371,0,1.627,3,1,4
uniform-alpha_3-52-n10-maxradius-40,169.885,169.885,0,2.93,3,2,3
uniform-alpha_3-52-n10-maxradius-60,160.392,160.392,0,2.445,3,2,3
uniform-alpha_3-52-n10-maxradius-100,158.878,158.878,0,2.27,3,2,3
uniform-alpha_3-52-n10-maxradius-150,158.878,158.878,0,2.286,3,2,3
uniform-alpha_3-52-n10-maxradius-200,158.878,158.878,0,2.283,3,2,3
uniform-alpha_3-53-n10-maxradius-20,148.15,148.15,0,0.52,3,1,4
uniform-alpha_3-53-n10-maxradius-40,125.568,125.568,0,0.998,3,2,3
uniform-alpha_3-53-n10-maxradius-60,120.99,120.99,0,1.047,3,2,3
uniform-alpha_3-53-n10-maxradius-100,125.292,125.292,0,2.742,3,2,3
uniform-alpha_3-53-n10-maxradius-150,125.292,125.292,0,2.477,3,2,3
uniform-alpha_3-53-n10-maxradius-200,125.292,125.28,0.01,1.927,3,2,3
uniform-alpha_3-54-n10-maxradius-20,236.784,236.784,0,2.236,3,1,4
uniform-alpha_3-54-n10-maxradius-40,181.775,181.775,0,1.086,3,2,3
uniform-alpha_3-54-n10-maxradius-60,174.549,174.549,0,2.216,3,2,3
uniform-alpha_3-54-n10-maxradius-100,174.549,174.549,0,2.655,3,2,3
uniform-alpha_3-54-n10-maxradius-150,174.549,174.549,0,3.64,3,2,3
uniform-alpha_3-54-n10-maxradius-200,174.549,174.549,0,2.619,3,2,3
uniform-alpha_3-55-n10-maxradius-20,268.382,268.382,0,2.214,3,2,3
uniform-alpha_3-55-n10-maxradius-40,256.045,256.045,0,7.448,3,1,4
uniform-alpha_3-55-n10-maxradius-60,225.359,225.359,0,3.202,3,2,3
uniform-alpha_3-55-n10-maxradius-100,223.858,223.858,0,3.674,3,2,3
uniform-alpha_3-55-n10-maxradius-150,223.858,223.843,0.01,3.156,3,2,3
uniform-alpha_3-55-n10-maxradius-200,223.858,223.858,0,3.017,3,2,3
uniform-alpha_3-56-n10-maxradius-20,241.66,241.64,0.01,3.627,3,1,4
uniform-alpha_3-56-n10-maxradius-40,206.018,206.018,0,3.854,3,2,3
uniform-alpha_3-56-n10-maxradius-60,200.506,200.506,0,2.789,3,2,3
uniform-alpha_3-56-n10-maxradius-100,200.506,200.506,0,3.688,3,2,3
uniform-alpha_3-56-n10-maxradius-150,200.506,200.506,0,3.846,3,2,3
uniform-alpha_3-56-n10-maxradius-200,200.506,200.506,0,3.847,3,2,3
uniform-alpha_3-57-n10-maxradius-20,210.85,210.85,0,3.023,3,2,3
uniform-alpha_3-57-n10-maxradius-40,141.149,141.149,0,1.009,3,1,4
uniform-alpha_3-57-n10-maxradius-60,119.28,119.28,0,0.725,3,2,3
uniform-alpha_3-57-n10-maxradius-100,123.576,123.576,0,1.901,3,2,3
uniform-alpha_3-57-n10-maxradius-150,119.093,119.093,0,1.864,3,2,3
uniform-alpha_3-57-n10-maxradius-200,121.058,121.058,0,0.895,3,2,3
uniform-alpha_3-58-n10-maxradius-20,228.901,228.901,0,1.922,3,2,3
uniform-alpha_3-58-n10-maxradius-40,192.255,192.249,0,3.341,3,2,3
uniform-alpha_3-58-n10-maxradius-60,192.255,192.255,0,3.454,3,2,3
uniform-alpha_3-58-n10-maxradius-100,192.255,192.255,0,3.348,3,2,3
uniform-alpha_3-58-n10-maxradius-150,192.255,192.255,0,4.975,3,2,3
uniform-alpha_3-58-n10-maxradius-200,192.255,192.255,0,5.947,3,2,3
uniform-alpha_3-59-n10-maxradius-20,228.573,228.573,0,1.57,4,2,2
uniform-alpha_3-59-n10-maxradius-40,174.044,174.044,0,1.157,3,2,3
uniform-alpha_3-59-n10-maxradius-60,166.065,166.065,0,1.936,3,2,3
uniform-alpha_3-59-n10-maxradius-100,163.541,163.541,0,1.451,3,2,3
uniform-alpha_3-59-n10-maxradius-150,166.065,166.065,0,2.093,3,2,3
uniform-alpha_3-59-n10-maxradius-200,164.475,164.475,0,1.746,3,2,3
uniform-alpha_3-60-n10-maxradius-20,245.706,245.706,0,2.871,3,2,3
uniform-alpha_3-60-n10-maxradius-40,211.662,211.662,0,5.74,3,2,3
uniform-alpha_3-60-n10-maxradius-60,204.224,204.224,0,3.315,3,2,3
uniform-alpha_3-60-n10-maxradius-100,204.224,204.224,0,3.677,3,2,3
uniform-alpha_3-60-n10-maxradius-150,204.224,204.224,0,4.253,3,2,3
uniform-alpha_3-60-n10-maxradius-200,204.224,204.224,0,3.076,3,2,3
