v100,181.205,181.205,3.405,3,0
v4,166.978,166.978,5.444,3,1
v60,117.807,117.807,1.844,2,1
v70,253.664,253.664,27.531,0,0
v44,222.46,222.46,9.915,0,1
v8,138.578,138.578,5.222,2,1
v20,220.445,220.445,29.77,4,0
v16,162.732,162.732,27.495,5,1
v78,213.882,213.882,35.964,1,1
v17,217.238,217.238,3.517,0,1
v6,221.534,221.534,20.06,2,0
v57,244.07,244.07,6.052,0,1
v31,162.228,162.228,54.16,5,0
v41,220.086,220.086,73.436,6,0
v10,189.617,189.617,52.912,4,1
v64,142.324,142.324,8.012,3,1
v29,173.765,173.765,21.073,0,1
v40,244.171,244.171,47.966,5,1
v22,170.218,170.218,7.041,4,0
v68,218.939,218.939,13.557,0,1
v76,212.267,212.267,2.254,2,1
v75,252.061,252.061,4.678,0,1
v48,174.309,174.309,21.015,5,1
v5,161.537,161.537,1.994,1,1
v88,271.305,271.305,34.185,1,1
v98,186.639,186.639,2.379,1,1
v7,194.332,194.332,2.486,2,0
v74,202.598,202.598,58.391,4,1
v28,214.526,214.526,9.644,0,1
v63,172.532,172.532,3.595,3,1
v71,136.326,136.326,6.065,3,1
v56,253.99,253.99,3.913,2,1
v49,186.666,186.666,100.938,4,1
v13,224.777,224.777,200.083,4,0
v62,164.499,164.499,3.088,3,1
v66,180.508,180.508,17.654,1,1
v93,214.004,214.004,6.142,3,1
v91,97.6496,97.6496,10.636,3,1
v96,168.913,168.913,27.907,3,0
v80,198.316,198.316,5.335,1,1
v14,180.51,180.51,5.462,2,1
v51,211.287,211.287,52.853,6,1
v34,205.632,205.632,3.935,0,1
v82,210.91,210.91,1.77,1,1
v24,172.865,172.865,22.959,4,1
v36,197.49,197.49,138.215,4,0
v43,241.227,241.227,38.619,1,1
v58,224.997,224.997,61.334,2,1
v12,207.792,207.792,76.469,2,0
v95,230.482,230.482,7.357,0,1
v79,230.988,230.988,2.033,4,1
v33,157.944,157.944,45.029,6,0
v61,174.464,174.464,55.923,5,1
v32,122.42,122.42,2.68,4,0
v23,205.72,205.72,10.255,1,1
v69,153.694,153.694,5.355,2,1
v21,229.248,229.248,179.881,1,1
v85,157.335,157.335,49.176,3,0
v52,173.836,173.836,2.304,3,1
v54,193.187,193.187,120.759,3,0
v65,157.888,157.888,2.601,3,1
v39,232.267,232.267,40.059,0,1
v46,244.08,244.08,61.22,1,1
v15,193.734,193.734,101.085,2,1
v30,215.935,215.935,15.036,1,1
v67,220.61,220.61,106.051,2,1
v97,178.3,178.3,83.764,6,0
v37,253.776,253.776,19.682,0,1
v27,162.505,162.505,5.735,2,1
v42,149.668,149.668,5.065,3,1
v3,135.039,135.039,5.546,1,1
v35,236.171,236.171,23.21,0,1
v9,221.641,221.641,14.913,3,1
v84,180.325,180.325,18.539,0,1
v83,217.263,217.263,3.608,1,1
v19,234.743,234.743,3.217,0,1
v26,233.261,233.261,200.019,4,0
v55,201.289,201.289,24.311,0,1
v73,233.839,233.839,110.529,2,0
v86,172.772,172.772,2.533,0,1
v94,252.549,252.549,5.481,0,1
v81,254.8,254.8,27.552,2,0
v11,219.466,219.466,11.533,5,1
v92,229.214,229.214,25.892,1,1
v47,187.684,187.684,29.108,3,1
v89,170.189,170.189,6.892,2,0
v2,227.022,227.022,29.815,0,1
v99,242.543,242.543,122.849,0,0
v90,146.458,146.458,28.709,5,1
v50,165.482,165.482,47.653,6,1
v38,136.814,136.814,18.094,3,1
v25,198.77,198.77,18.068,4,1
v77,158.385,158.385,33.74,3,1
v53,264.191,264.191,99.066,0,1
v72,200.485,200.485,5.44,1,1
v1,179.717,179.717,4.32,2,0
v59,170.624,170.624,6.515,3,1
v87,152.869,152.869,3.97,3,1
v45,185.754,185.754,1.649,1,1
v18,190.501,190.501,133.776,4,1
